evid,std_x_km,std_y_km,std_z_km,std_t_s,std_xyz_km,ess_xyzt_min,ess_x,ess_y,ess_z,ess_t,n_samples,degree,ess_rank_hi,std_rank_lo,suspicious_score
919,0.013008499,0.011817176,0.014683688,0.005936154,0.02290147,44.15311,59.046932,48.536774,44.15311,180.81229,12602,233,0.3752783964365256,0.05790645879732739,0.021731043000778764
73,0.014018253,0.01226266,0.015113713,0.009113527,0.02398559,55.06365,79.35729,62.390556,55.06365,113.04871,12602,499,0.26726057906458794,0.08017817371937638,0.02142846513658166
621,0.012225068,0.009694896,0.013629328,0.0053725615,0.020717189,10.530226,49.660778,33.516403,42.70701,10.530226,12602,539,0.9409799554565701,0.022271714922048998,0.020957237315291092
915,0.017664244,0.014274084,0.028837102,0.0076569407,0.036706313,119.12879,151.09636,190.70166,133.56816,119.12879,12602,225,0.051224944320712694,0.4064587973273942,0.020820829261759613
193,0.013061246,0.009921815,0.025217762,0.005591313,0.030082786,97.20943,106.04939,130.64864,170.31606,97.20943,12602,269,0.08685968819599109,0.23496659242761692,0.020409124954737325
665,0.012921077,0.011598238,0.013854805,0.0078065856,0.022213262,40.99659,44.3427,40.99659,46.48943,132.86392,12602,388,0.42316258351893093,0.04788418708240534,0.020262796315494463
152,0.012526798,0.010605103,0.013587587,0.0056253937,0.021307543,20.957064,33.808674,27.144234,34.861942,20.957064,12602,494,0.755011135857461,0.026726057906458794,0.020178471336947734
56,0.01818086,0.015875045,0.043116372,0.009897621,0.04941237,133.20792,214.9417,309.1354,133.20792,175.80269,12602,40,0.03229398663697104,0.6247216035634744,0.02017475111730596
610,0.014982852,0.013632693,0.029304503,0.009480007,0.035624288,118.06199,190.36119,264.311,118.06199,144.14804,12602,49,0.052338530066815145,0.37861915367483295,0.01981636995848235
194,0.011873355,0.009465956,0.016471548,0.0054350067,0.022402963,43.419308,103.6412,73.37912,102.53522,43.419308,12602,338,0.38530066815144765,0.051224944320712694,0.019737005272791305
282,0.013395917,0.01397845,0.02823366,0.008937122,0.0342343,115.5543,215.97334,214.35378,115.5543,210.38939,12602,167,0.05567928730512249,0.3507795100222717,0.01953115311928016
635,0.013403947,0.010526219,0.014094162,0.005917979,0.022115888,41.266426,90.45579,46.636826,41.266426,46.77092,12602,444,0.4142538975501113,0.04677060133630289,0.019374903894325918
528,0.013705776,0.010944184,0.014942046,0.007963228,0.023041012,49.018147,49.018147,53.524303,58.976143,294.23953,12602,320,0.321826280623608,0.060133630289532294,0.019352582576475316
317,0.018268235,0.014815873,0.020324547,0.008911441,0.03108578,104.12048,116.57883,143.46114,104.12048,230.36702,12602,575,0.07126948775055679,0.2650334075723831,0.01888879519446828
784,0.013567323,0.010486225,0.014603379,0.0062288214,0.022523139,46.9076,49.24314,46.9076,49.343334,68.60244,12602,256,0.33853006681514475,0.05567928730512249,0.018849112851622756
676,0.015805343,0.011742541,0.015761973,0.007933521,0.025221735,75.17704,116.91752,144.46817,75.17704,170.37778,12602,636,0.17260579064587972,0.10913140311804008,0.018836712119483533
327,0.0147431865,0.013850281,0.021160854,0.009940458,0.029274112,97.14852,106.324615,113.06866,97.14852,234.20789,12602,191,0.08797327394209353,0.21380846325167036,0.018809430508777234
887,0.012485596,0.011045147,0.013627323,0.006915987,0.021531126,29.678886,34.857258,29.678886,44.221226,36.87827,12602,548,0.6080178173719376,0.030066815144766147,0.01828115931964623
401,0.016663047,0.011746146,0.024348265,0.006554998,0.03175637,107.039696,118.90797,154.72684,132.38438,107.039696,12602,254,0.06347438752783964,0.2861915367483296,0.01816583251075143
948,0.015659893,0.0121369865,0.019477597,0.008559933,0.027783366,93.91911,109.58366,125.93865,93.91911,101.33626,12602,557,0.10356347438752783,0.17371937639198218,0.017990982187588354
964,0.016487118,0.014140294,0.02560244,0.00924494,0.033574663,116.780525,162.59195,181.91098,116.780525,244.23528,12602,166,0.05345211581291759,0.32962138084632514,0.017618960223411587
184,0.014941275,0.014112211,0.019040959,0.008317216,0.028017037,94.855644,136.94113,102.20102,94.855644,180.12697,12602,280,0.09799554565701558,0.17817371937639198,0.017460230852029503
357,0.0137201715,0.01623885,0.018312631,0.007211763,0.028058792,95.55031,179.25198,134.76564,172.35898,95.55031,12602,106,0.09465478841870824,0.18040089086859687,0.017075808155713513
973,0.011726,0.009870948,0.01381211,0.0051694014,0.020632718,16.074785,52.630154,36.530315,36.46377,16.074785,12602,440,0.8474387527839643,0.020044543429844096,0.016986522884311087
285,0.0154875275,0.013139201,0.02069682,0.008091497,0.028997594,98.51962,139.3636,187.97226,98.51962,101.141365,12602,124,0.08129175946547884,0.20712694877505566,0.01683771409864038
182,0.020525604,0.01574355,0.035594232,0.009778135,0.04400124,133.27669,150.82562,229.49706,133.27669,155.1328,12602,41,0.031180400890868595,0.532293986636971,0.016597139895139407
99,0.016334381,0.01351126,0.03110542,0.009783765,0.03764191,128.89697,174.879,219.23627,128.89697,135.38152,12602,37,0.03897550111358575,0.41870824053452116,0.01631936349522076
702,0.013174501,0.011547314,0.017557716,0.009160546,0.024802849,78.66884,78.66884,117.46729,94.65371,93.46835,12602,160,0.155902004454343,0.10244988864142539,0.015972142995322444
277,0.013306651,0.009603621,0.014721199,0.005527232,0.02204564,46.08645,46.08645,89.99048,102.83226,77.0733,12602,288,0.34966592427616927,0.045657015590200446,0.01596470255603891
247,0.014319273,0.0131238485,0.01670881,0.0101533355,0.0256215,84.88955,167.12282,111.82859,84.88955,179.38864,12602,394,0.13251670378619154,0.11915367483296213,0.01578985223287583
982,0.012478208,0.010703559,0.013169207,0.008792081,0.021064185,29.164665,36.89116,29.164665,38.346066,131.94366,12602,447,0.6224944320712694,0.024498886414253896,0.015250420384819517
186,0.016314797,0.012053589,0.019810027,0.0089906305,0.028353108,99.98773,128.45984,170.62679,99.98773,224.10434,12602,338,0.0757238307349666,0.19042316258351893,0.014419571331491412
872,0.015226003,0.0141045265,0.016470438,0.0077003264,0.026496114,94.08082,118.20686,137.16362,94.08082,219.10799,12602,662,0.10022271714922049,0.14365256124721604,0.014397250013640806
647,0.012564966,0.009873304,0.014557452,0.00612063,0.021616658,42.765575,93.81506,69.20946,79.23482,42.765575,12602,383,0.39198218262806234,0.035634743875278395,0.013968184681623601
455,0.018055303,0.014414201,0.021841438,0.009134593,0.031793263,120.5328,160.41417,176.87302,120.5328,153.55391,12602,115,0.045657015590200446,0.28953229398663693,0.01321918046041438
218,0.011864047,0.010143672,0.013034923,0.004955193,0.020336147,19.802055,44.0991,31.486567,48.71547,19.802055,12602,367,0.7906458797327394,0.016703786191536747,0.013206779728275156
718,0.010970312,0.008455868,0.01760925,0.005420421,0.022403909,58.49241,77.98029,58.49241,107.879036,192.386,12602,356,0.24832962138084633,0.052338530066815145,0.012997207355122246
903,0.012481922,0.01022809,0.014309274,0.005788471,0.021567743,44.19886,70.99139,44.19886,48.237343,198.30818,12602,392,0.3741648106904231,0.034521158129175944,0.012916602596217278
140,0.014959601,0.012431513,0.023020305,0.0108494535,0.03013746,116.60595,125.69223,154.90892,116.60595,216.54434,12602,426,0.05456570155902004,0.23608017817371937,0.012881880546227449
307,0.011209918,0.009982153,0.013257469,0.005659559,0.020026635,14.406741,58.217422,29.60457,40.103355,14.406741,12602,550,0.8741648106904232,0.014476614699331848,0.012654947148079623
112,0.014496338,0.0134964045,0.024914594,0.0077165584,0.03182819,123.308975,289.68048,123.308975,124.53069,223.38828,12602,84,0.04120267260579064,0.29175946547884185,0.012021269735765198
50,0.012806005,0.013790568,0.023584772,0.0067653754,0.030173084,119.68566,209.11719,168.90562,119.68566,161.82568,12602,132,0.05011135857461024,0.23942093541202672,0.01199770834470067
222,0.016321259,0.0120843565,0.035307977,0.00851548,0.040731665,141.63484,169.99045,318.61862,149.54878,141.63484,12602,44,0.024498886414253896,0.47104677060133626,0.011540121328763248
443,0.014162709,0.013086806,0.016016958,0.009908376,0.025067704,93.91216,152.87514,101.700294,93.91216,172.16055,12602,399,0.10467706013363029,0.10801781737193764,0.01130698756454581
